"","term","gene"
"10403","adult.ISC.signature_Kazakevych_2017","XYLB"
"10404","adult.ISC.signature_Kazakevych_2017","EPHB2"
"10405","adult.ISC.signature_Kazakevych_2017","MYO9A"
"10406","adult.ISC.signature_Kazakevych_2017","CFTR"
"10407","adult.ISC.signature_Kazakevych_2017","NR4A2"
"10408","adult.ISC.signature_Kazakevych_2017","RGCC"
"10409","adult.ISC.signature_Kazakevych_2017","PRICKLE3"
"10410","adult.ISC.signature_Kazakevych_2017","DOPEY1"
"10411","adult.ISC.signature_Kazakevych_2017","RASEF"
"10412","adult.ISC.signature_Kazakevych_2017","TFPI"
"10413","adult.ISC.signature_Kazakevych_2017","GPX2-PS1"
"10414","adult.ISC.signature_Kazakevych_2017","EFNA3"
"10415","adult.ISC.signature_Kazakevych_2017","DDB2"
"10416","adult.ISC.signature_Kazakevych_2017","ICA1"
"10417","adult.ISC.signature_Kazakevych_2017","ALPK1"
"10418","adult.ISC.signature_Kazakevych_2017","KLHL24"
"10419","adult.ISC.signature_Kazakevych_2017","NOTCH1"
"10420","adult.ISC.signature_Kazakevych_2017","AI414108"
"10421","adult.ISC.signature_Kazakevych_2017","FRMD4B"
"10422","adult.ISC.signature_Kazakevych_2017","TTLL10"
"10423","adult.ISC.signature_Kazakevych_2017","4933439C10RIK"
"10424","adult.ISC.signature_Kazakevych_2017","SFI1"
"10425","adult.ISC.signature_Kazakevych_2017","ATF7"
"10426","adult.ISC.signature_Kazakevych_2017","SH3RF1"
"10427","adult.ISC.signature_Kazakevych_2017","SORBS2"
"10428","adult.ISC.signature_Kazakevych_2017","CYP39A1"
"10429","adult.ISC.signature_Kazakevych_2017","PAWR"
"10430","adult.ISC.signature_Kazakevych_2017","LRRK1"
"10431","adult.ISC.signature_Kazakevych_2017","DNAJB1"
"10432","adult.ISC.signature_Kazakevych_2017","DYM"
"10433","adult.ISC.signature_Kazakevych_2017","CCPG1"
"10434","adult.ISC.signature_Kazakevych_2017","AMIGO1"
"10435","adult.ISC.signature_Kazakevych_2017","CDC42EP1"
"10436","adult.ISC.signature_Kazakevych_2017","MECOM"
"10437","adult.ISC.signature_Kazakevych_2017","PIK3IP1"
"10438","adult.ISC.signature_Kazakevych_2017","CIT"
"10439","adult.ISC.signature_Kazakevych_2017","SLFN9"
"10440","adult.ISC.signature_Kazakevych_2017","HDAC8"
"10441","adult.ISC.signature_Kazakevych_2017","PBX1"
"10442","adult.ISC.signature_Kazakevych_2017","B230120H23RIK"
"10443","adult.ISC.signature_Kazakevych_2017","CLYBL"
"10444","adult.ISC.signature_Kazakevych_2017","RBM43"
"10445","adult.ISC.signature_Kazakevych_2017","SORL1"
"10446","adult.ISC.signature_Kazakevych_2017","VEZF1"
"10447","adult.ISC.signature_Kazakevych_2017","SRD5A1"
"10448","adult.ISC.signature_Kazakevych_2017","GPS2"
"10449","adult.ISC.signature_Kazakevych_2017","GM19461"
"10450","adult.ISC.signature_Kazakevych_2017","ABHD14A"
"10451","adult.ISC.signature_Kazakevych_2017","PDE8B"
"10452","adult.ISC.signature_Kazakevych_2017","POLR3GL"
"10453","adult.ISC.signature_Kazakevych_2017","MCTP2"
"10454","adult.ISC.signature_Kazakevych_2017","MLL2"
"10455","adult.ISC.signature_Kazakevych_2017","ITGA2"
"10456","adult.ISC.signature_Kazakevych_2017","IGBP1"
"10457","adult.ISC.signature_Kazakevych_2017","ACHE"
"10458","adult.ISC.signature_Kazakevych_2017","E030018B13RIK"
"10459","adult.ISC.signature_Kazakevych_2017","GTF2IRD2"
"10460","adult.ISC.signature_Kazakevych_2017","WDR16"
"10461","adult.ISC.signature_Kazakevych_2017","ELP5"
"10462","adult.ISC.signature_Kazakevych_2017","NHS"
"10463","adult.ISC.signature_Kazakevych_2017","2310040G24RIK"
"10464","adult.ISC.signature_Kazakevych_2017","CD81"
"10465","adult.ISC.signature_Kazakevych_2017","ABHD11"
"10466","adult.ISC.signature_Kazakevych_2017","ZFP341"
"10467","adult.ISC.signature_Kazakevych_2017","NFATC2IP"
"10468","adult.ISC.signature_Kazakevych_2017","GM7120"
"10469","adult.ISC.signature_Kazakevych_2017","GLTSCR2"
"10470","adult.ISC.signature_Kazakevych_2017","ZDHHC1"
"10471","adult.ISC.signature_Kazakevych_2017","4930414L22RIK"
"10472","adult.ISC.signature_Kazakevych_2017","6430573F11RIK"
"10473","adult.ISC.signature_Kazakevych_2017","ADRBK2"
"10474","adult.ISC.signature_Kazakevych_2017","CNTD1"
"10475","adult.ISC.signature_Kazakevych_2017","SETD7"
"10476","adult.ISC.signature_Kazakevych_2017","LIPT2"
"10477","adult.ISC.signature_Kazakevych_2017","SPATS1"
"10478","adult.ISC.signature_Kazakevych_2017","CPQ"
"10479","adult.ISC.signature_Kazakevych_2017","ZAN"
"10480","adult.ISC.signature_Kazakevych_2017","DCT"
"10481","adult.ISC.signature_Kazakevych_2017","PVR"
"10482","adult.ISC.signature_Kazakevych_2017","MYCBPAP"
"10483","adult.ISC.signature_Kazakevych_2017","CNPPD1"
"10484","adult.ISC.signature_Kazakevych_2017","SNORA31"
"10485","adult.ISC.signature_Kazakevych_2017","EHBP1"
"10486","adult.ISC.signature_Kazakevych_2017","LFNG"
"10487","adult.ISC.signature_Kazakevych_2017","IFFO2"
"10488","adult.ISC.signature_Kazakevych_2017","LRCH1"
"10489","adult.ISC.signature_Kazakevych_2017","SLC1A5"
"10490","adult.ISC.signature_Kazakevych_2017","MIR568"
"10491","adult.ISC.signature_Kazakevych_2017","NEIL3"
"10492","adult.ISC.signature_Kazakevych_2017","TPD52L1"
"10493","adult.ISC.signature_Kazakevych_2017","CBX7"
"10494","adult.ISC.signature_Kazakevych_2017","GRK5"
"10495","adult.ISC.signature_Kazakevych_2017","RING1"
"10496","adult.ISC.signature_Kazakevych_2017","GM53"
"10497","adult.ISC.signature_Kazakevych_2017","IFITM1"
"10498","adult.ISC.signature_Kazakevych_2017","FYCO1"
"10499","adult.ISC.signature_Kazakevych_2017","TNFRSF12A"
"10500","adult.ISC.signature_Kazakevych_2017","GM16907"
"10501","adult.ISC.signature_Kazakevych_2017","DAGLA"
"10502","adult.ISC.signature_Kazakevych_2017","PM20D2"
"10503","adult.ISC.signature_Kazakevych_2017","DCP1B"
"10504","adult.ISC.signature_Kazakevych_2017","PPT2"
"10505","adult.ISC.signature_Kazakevych_2017","ATXN7L2"
"10506","adult.ISC.signature_Kazakevych_2017","SLC7A4"
"10507","adult.ISC.signature_Kazakevych_2017","EFNA4"
"10508","adult.ISC.signature_Kazakevych_2017","MCM9"
"10509","adult.ISC.signature_Kazakevych_2017","ARHGEF39"
"10510","adult.ISC.signature_Kazakevych_2017","A430071A18RIK"
"10511","adult.ISC.signature_Kazakevych_2017","VAMP1"
"10512","adult.ISC.signature_Kazakevych_2017","PLCH2"
"10513","adult.ISC.signature_Kazakevych_2017","CCND1"
"10514","adult.ISC.signature_Kazakevych_2017","CEP70"
"10515","adult.ISC.signature_Kazakevych_2017","WWOX"
"10516","adult.ISC.signature_Kazakevych_2017","GNE"
"10517","adult.ISC.signature_Kazakevych_2017","RPL38"
"10518","adult.ISC.signature_Kazakevych_2017","AK7"
"10519","adult.ISC.signature_Kazakevych_2017","ZC3H6"
"10520","adult.ISC.signature_Kazakevych_2017","ATP2C2"
"10521","adult.ISC.signature_Kazakevych_2017","G6PC3"
"10522","adult.ISC.signature_Kazakevych_2017","DYNLL2"
"10523","adult.ISC.signature_Kazakevych_2017","SULT1A1"
"10524","adult.ISC.signature_Kazakevych_2017","HSD17B14"
"10525","adult.ISC.signature_Kazakevych_2017","RIPK2"
"10526","adult.ISC.signature_Kazakevych_2017","1110032A03RIK"
"10527","adult.ISC.signature_Kazakevych_2017","NHLRC1"
"10528","adult.ISC.signature_Kazakevych_2017","SGSM3"
"10529","adult.ISC.signature_Kazakevych_2017","4930415O20RIK"
"10530","adult.ISC.signature_Kazakevych_2017","CLN3"
"10531","adult.ISC.signature_Kazakevych_2017","PTMS"
"10532","adult.ISC.signature_Kazakevych_2017","HOXB6"
"10533","adult.ISC.signature_Kazakevych_2017","GM2A"
"10534","adult.ISC.signature_Kazakevych_2017","ISG20"
"10535","adult.ISC.signature_Kazakevych_2017","SMTN"
"10536","adult.ISC.signature_Kazakevych_2017","HIST1H4K"
"10537","adult.ISC.signature_Kazakevych_2017","0610009O20RIK"
"10538","adult.ISC.signature_Kazakevych_2017","NSMF"
"10539","adult.ISC.signature_Kazakevych_2017","ATG16L2"
"10540","adult.ISC.signature_Kazakevych_2017","HSPB6"
"10541","adult.ISC.signature_Kazakevych_2017","RPS13"
"10542","adult.ISC.signature_Kazakevych_2017","PGC"
"10543","adult.ISC.signature_Kazakevych_2017","TBC1D4"
"10544","adult.ISC.signature_Kazakevych_2017","GLIPR2"
"10545","adult.ISC.signature_Kazakevych_2017","LTC4S"
"10546","adult.ISC.signature_Kazakevych_2017","NUDT6"
"10547","adult.ISC.signature_Kazakevych_2017","METTL15"
"10548","adult.ISC.signature_Kazakevych_2017","HIST1H3F"
"10549","adult.ISC.signature_Kazakevych_2017","EMP2"
"10550","adult.ISC.signature_Kazakevych_2017","FBXO24"
"10551","adult.ISC.signature_Kazakevych_2017","TCAIM"
"10552","adult.ISC.signature_Kazakevych_2017","1700031P21RIK"
"10553","adult.ISC.signature_Kazakevych_2017","EGR3"
"10554","adult.ISC.signature_Kazakevych_2017","LYRM9"
"10555","adult.ISC.signature_Kazakevych_2017","9330162B11RIK"
"10556","adult.ISC.signature_Kazakevych_2017","LIN37"
"10557","adult.ISC.signature_Kazakevych_2017","DDRGK1"
"10558","adult.ISC.signature_Kazakevych_2017","SYCN"
"10559","adult.ISC.signature_Kazakevych_2017","4930471I20RIK"
"10560","adult.ISC.signature_Kazakevych_2017","RP9"
"10561","adult.ISC.signature_Kazakevych_2017","SIK1"
"10562","adult.ISC.signature_Kazakevych_2017","PLEKHB1"
"10563","adult.ISC.signature_Kazakevych_2017","CCNL1"
"10564","adult.ISC.signature_Kazakevych_2017","HIST1H2BJ"
"10565","adult.ISC.signature_Kazakevych_2017","ATP6V1G2"
"10566","adult.ISC.signature_Kazakevych_2017","PIK3AP1"
"10567","adult.ISC.signature_Kazakevych_2017","NR4A1"
"10568","adult.ISC.signature_Kazakevych_2017","GPR19"
"10569","adult.ISC.signature_Kazakevych_2017","GM15545"
"10570","adult.ISC.signature_Kazakevych_2017","HIST1H3C"
"10571","adult.ISC.signature_Kazakevych_2017","4933426D04RIK"
"10572","adult.ISC.signature_Kazakevych_2017","HSBP1L1"
"10573","adult.ISC.signature_Kazakevych_2017","BC025920"
"10574","adult.ISC.signature_Kazakevych_2017","ARC"
"10575","adult.ISC.signature_Kazakevych_2017","DUSP10"
"10576","adult.ISC.signature_Kazakevych_2017","UBE2S"
"10577","adult.ISC.signature_Kazakevych_2017","ZFP579"
"10578","adult.ISC.signature_Kazakevych_2017","EGR1"
"10579","adult.ISC.signature_Kazakevych_2017","SNORD47"
"10580","adult.ISC.signature_Kazakevych_2017","GM5918"
"10581","adult.ISC.signature_Kazakevych_2017","GM14318"
"10582","adult.ISC.signature_Kazakevych_2017","TSACC"
"10583","adult.ISC.signature_Kazakevych_2017","ZFP661"
"10584","adult.ISC.signature_Kazakevych_2017","HIST1H3A"
"10585","adult.ISC.signature_Kazakevych_2017","FGL1"
"10586","adult.ISC.signature_Kazakevych_2017","RPL13"
"10587","adult.ISC.signature_Kazakevych_2017","CBX8"
"10588","adult.ISC.signature_Kazakevych_2017","RPS25"
"10589","adult.ISC.signature_Kazakevych_2017","ZFP956"
"10590","adult.ISC.signature_Kazakevych_2017","PER1"
"10591","adult.ISC.signature_Kazakevych_2017","KLF11"
"10592","adult.ISC.signature_Kazakevych_2017","SCARNA17"
"10593","adult.ISC.signature_Kazakevych_2017","3110079O15RIK"
"10594","adult.ISC.signature_Kazakevych_2017","THBS1"
"10595","adult.ISC.signature_Kazakevych_2017","GM5129"
"10596","adult.ISC.signature_Kazakevych_2017","HIST1H3D"
"10597","adult.ISC.signature_Kazakevych_2017","MIR429"
"10598","adult.ISC.signature_Kazakevych_2017","IMP3"
"10599","adult.ISC.signature_Kazakevych_2017","TMED6"
"10600","adult.ISC.signature_Kazakevych_2017","FKBP7"
"10601","adult.ISC.signature_Kazakevych_2017","PIM3"
"10602","adult.ISC.signature_Kazakevych_2017","MIR694"
"10603","adult.ISC.signature_Kazakevych_2017","MIR1190"
"10604","adult.ISC.signature_Kazakevych_2017","MIR1941"
"10605","adult.ISC.signature_Kazakevych_2017","D630032N06RIK"
"10606","adult.ISC.signature_Kazakevych_2017","SNORD12"
"10607","adult.ISC.signature_Kazakevych_2017","SCARNA9"
"10608","adult.ISC.signature_Kazakevych_2017","MIR5106"
"10609","adult.ISC.signature_Kazakevych_2017","GM16675"
"10610","adult.ISC.signature_Kazakevych_2017","MIR210"
"10611","adult.ISC.signature_Kazakevych_2017","SNORA47"
"10612","adult.ISC.signature_Kazakevych_2017","DTX4"
"10613","adult.ISC.signature_Kazakevych_2017","RBM38"
"10614","adult.ISC.signature_Kazakevych_2017","FARP1"
"10615","adult.ISC.signature_Kazakevych_2017","IVNS1ABP"
"10616","adult.ISC.signature_Kazakevych_2017","EPHB4"
"10617","adult.ISC.signature_Kazakevych_2017","SPAG5"
"10618","adult.ISC.signature_Kazakevych_2017","TAF4B"
"10619","adult.ISC.signature_Kazakevych_2017","SLC16A11"
"10620","adult.ISC.signature_Kazakevych_2017","NLE1"
"10621","adult.ISC.signature_Kazakevych_2017","PLK1S1"
"10622","adult.ISC.signature_Kazakevych_2017","FAM214A"
"10623","adult.ISC.signature_Kazakevych_2017","HES1"
"10624","adult.ISC.signature_Kazakevych_2017","ZBTB44"
"10625","adult.ISC.signature_Kazakevych_2017","TROAP"
"10626","adult.ISC.signature_Kazakevych_2017","GM13212"
"10627","adult.ISC.signature_Kazakevych_2017","2610015P09RIK"
"10628","adult.ISC.signature_Kazakevych_2017","SFMBT1"
"10629","adult.ISC.signature_Kazakevych_2017","RAD52"
"10630","adult.ISC.signature_Kazakevych_2017","LRDD"
"10631","adult.ISC.signature_Kazakevych_2017","OVGP1"
"10632","adult.ISC.signature_Kazakevych_2017","ZFP398"
"10633","adult.ISC.signature_Kazakevych_2017","KNSTRN"
"10634","adult.ISC.signature_Kazakevych_2017","RPS15"
"10635","adult.ISC.signature_Kazakevych_2017","CCHCR1"
"10636","adult.ISC.signature_Kazakevych_2017","RCCD1"
"10637","adult.ISC.signature_Kazakevych_2017","EIF2A"
"10638","adult.ISC.signature_Kazakevych_2017","FADS2"
"10639","adult.ISC.signature_Kazakevych_2017","RPL10A"
"10640","adult.ISC.signature_Kazakevych_2017","RPS7"
"10641","adult.ISC.signature_Kazakevych_2017","MFGE8"
"10642","adult.ISC.signature_Kazakevych_2017","THAP3"
"10643","adult.ISC.signature_Kazakevych_2017","ARHGAP8"
"10644","adult.ISC.signature_Kazakevych_2017","WWP1"
"10645","adult.ISC.signature_Kazakevych_2017","BAIAP2"
"10646","adult.ISC.signature_Kazakevych_2017","B130034C11RIK"
"10647","adult.ISC.signature_Kazakevych_2017","CCDC61"
"10648","adult.ISC.signature_Kazakevych_2017","2610035D17RIK"
"10649","adult.ISC.signature_Kazakevych_2017","AGXT2L2"
"10650","adult.ISC.signature_Kazakevych_2017","PBK"
"10651","adult.ISC.signature_Kazakevych_2017","1810022K09RIK"
"10652","adult.ISC.signature_Kazakevych_2017","HIST1H1D"
"10653","adult.ISC.signature_Kazakevych_2017","GGNBP1"
"10654","adult.ISC.signature_Kazakevych_2017","PTPRD"
"10655","adult.ISC.signature_Kazakevych_2017","METTL22"
"10656","adult.ISC.signature_Kazakevych_2017","PDGFA"
"10657","adult.ISC.signature_Kazakevych_2017","FERMT1"
"10658","adult.ISC.signature_Kazakevych_2017","EEF1B2"
"10659","adult.ISC.signature_Kazakevych_2017","RWDD3"
"10660","adult.ISC.signature_Kazakevych_2017","KCNK1"
"10661","adult.ISC.signature_Kazakevych_2017","1810014B01RIK"
"10662","adult.ISC.signature_Kazakevych_2017","HYAL3"
"10663","adult.ISC.signature_Kazakevych_2017","CCDC163"
"10664","adult.ISC.signature_Kazakevych_2017","GNAT2"
"10665","adult.ISC.signature_Kazakevych_2017","CCNB2"
"10666","adult.ISC.signature_Kazakevych_2017","METAP1D"
"10667","adult.ISC.signature_Kazakevych_2017","1500012F01RIK"
"10668","adult.ISC.signature_Kazakevych_2017","DANCR"
"10669","adult.ISC.signature_Kazakevych_2017","CYB5RL"
"10670","adult.ISC.signature_Kazakevych_2017","LRRC51"
"10671","adult.ISC.signature_Kazakevych_2017","PPIFOS"
"10672","adult.ISC.signature_Kazakevych_2017","RPS5"
"10673","adult.ISC.signature_Kazakevych_2017","RSL1"
"10674","adult.ISC.signature_Kazakevych_2017","ALG1"
"10675","adult.ISC.signature_Kazakevych_2017","RPS26"
"10676","adult.ISC.signature_Kazakevych_2017","RPL32"
"10677","adult.ISC.signature_Kazakevych_2017","RPS9"
"10678","adult.ISC.signature_Kazakevych_2017","TMEM107"
"10679","adult.ISC.signature_Kazakevych_2017","GNB2L1"
"10680","adult.ISC.signature_Kazakevych_2017","1190007I07RIK"
"10681","adult.ISC.signature_Kazakevych_2017","RPS20"
"10682","adult.ISC.signature_Kazakevych_2017","HSPH1"
"10683","adult.ISC.signature_Kazakevych_2017","RPS10"
"10684","adult.ISC.signature_Kazakevych_2017","RPS15A-PS4"
"10685","adult.ISC.signature_Kazakevych_2017","PSMG4"
"10686","adult.ISC.signature_Kazakevych_2017","HIST1H4I"
"10687","adult.ISC.signature_Kazakevych_2017","1700007L15RIK"
"10688","adult.ISC.signature_Kazakevych_2017","1190002F15RIK"
"10689","adult.ISC.signature_Kazakevych_2017","RPL22L1"
"10690","adult.ISC.signature_Kazakevych_2017","SNORA62"
"10691","adult.ISC.signature_Kazakevych_2017","MIR1960"
"10692","adult.ISC.signature_Kazakevych_2017","SNORD65"
"10693","fetal.ISC.proliferation.signature_Kazakevych_2017","D930015E06RIK"
"10694","fetal.ISC.proliferation.signature_Kazakevych_2017","TRIM24"
"10695","fetal.ISC.proliferation.signature_Kazakevych_2017","TOX3"
"10696","fetal.ISC.proliferation.signature_Kazakevych_2017","FRMD4A"
"10697","fetal.ISC.proliferation.signature_Kazakevych_2017","RGS12"
"10698","fetal.ISC.proliferation.signature_Kazakevych_2017","MYO1B"
"10699","fetal.ISC.proliferation.signature_Kazakevych_2017","CACNA1A"
"10700","fetal.ISC.proliferation.signature_Kazakevych_2017","PLCB4"
"10701","fetal.ISC.proliferation.signature_Kazakevych_2017","RNF150"
"10702","fetal.ISC.proliferation.signature_Kazakevych_2017","PHF21B"
"10703","fetal.ISC.proliferation.signature_Kazakevych_2017","POT1B"
"10704","fetal.ISC.proliferation.signature_Kazakevych_2017","PPP1R12B"
"10705","fetal.ISC.proliferation.signature_Kazakevych_2017","KCNQ1OT1"
"10706","fetal.ISC.proliferation.signature_Kazakevych_2017","2210018M11RIK"
"10707","fetal.ISC.proliferation.signature_Kazakevych_2017","MYBL1"
"10708","fetal.ISC.proliferation.signature_Kazakevych_2017","CEP112"
"10709","fetal.ISC.proliferation.signature_Kazakevych_2017","SLAIN1"
"10710","fetal.ISC.proliferation.signature_Kazakevych_2017","MSI1"
"10711","fetal.ISC.proliferation.signature_Kazakevych_2017","STEAP2"
"10712","fetal.ISC.proliferation.signature_Kazakevych_2017","KANSL1L"
"10713","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H2AK"
"10714","fetal.ISC.proliferation.signature_Kazakevych_2017","SOX4"
"10715","fetal.ISC.proliferation.signature_Kazakevych_2017","ACSS3"
"10716","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H2AB"
"10717","fetal.ISC.proliferation.signature_Kazakevych_2017","TCTE2"
"10718","fetal.ISC.proliferation.signature_Kazakevych_2017","8430429K09RIK"
"10719","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H1A"
"10720","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST2H2AB"
"10721","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H2AI"
"10722","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H1B"
"10723","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H3E"
"10724","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H2AG"
"10725","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H3G"
"10726","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST1H2BN"
"10727","fetal.ISC.proliferation.signature_Kazakevych_2017","CC2D2A"
"10728","fetal.ISC.proliferation.signature_Kazakevych_2017","PPP1R9A"
"10729","fetal.ISC.proliferation.signature_Kazakevych_2017","2810442I21RIK"
"10730","fetal.ISC.proliferation.signature_Kazakevych_2017","INO80B"
"10731","fetal.ISC.proliferation.signature_Kazakevych_2017","CCDC166"
"10732","fetal.ISC.proliferation.signature_Kazakevych_2017","HIST2H4"
"10733","fetal.ISC.proliferation.signature_Kazakevych_2017","D330022K07RIK"
"10734","fetal.ISC.proliferation.signature_Kazakevych_2017","9330179D12RIK"
"10735","fetal.ISC.proliferation.signature_Kazakevych_2017","MAP1LC3A"
"10736","fetal.ISC.proliferation.signature_Kazakevych_2017","SOAT1"
"10737","fetal.ISC.proliferation.signature_Kazakevych_2017","ZNRF3"
"10738","fetal.ISC.proliferation.signature_Kazakevych_2017","SOX9"
"10739","fetal.ISC.proliferation.signature_Kazakevych_2017","NRN1"
"10740","fetal.ISC.proliferation.signature_Kazakevych_2017","FAM222A"
"10741","fetal.ISC.proliferation.signature_Kazakevych_2017","TBC1D9"
"10742","fetal.ISC.proliferation.signature_Kazakevych_2017","TIAM1"
"10743","fetal.ISC.proliferation.signature_Kazakevych_2017","ABCC1"
"10744","fetal.ISC.proliferation.signature_Kazakevych_2017","PLS3"
"10745","fetal.ISC.proliferation.signature_Kazakevych_2017","USP31"
"10746","fetal.ISC.proliferation.signature_Kazakevych_2017","POLI"
"10747","fetal.ISC.proliferation.signature_Kazakevych_2017","ATM"
"10748","fetal.ISC.proliferation.signature_Kazakevych_2017","USP49"
"10749","fetal.ISC.proliferation.signature_Kazakevych_2017","ANKRD13B"
"10750","fetal.ISC.proliferation.signature_Kazakevych_2017","SMYD2"
"10751","fetal.ISC.proliferation.signature_Kazakevych_2017","RAD51B"
"10752","fetal.ISC.proliferation.signature_Kazakevych_2017","CCDC57"
"10753","fetal.ISC.proliferation.signature_Kazakevych_2017","NRM"
"10754","fetal.ISC.proliferation.signature_Kazakevych_2017","CCDC34"
"10755","fetal.ISC.proliferation.signature_Kazakevych_2017","LRP4"
"10756","fetal.ISC.proliferation.signature_Kazakevych_2017","CEP110"
"10757","fetal.ISC.proliferation.signature_Kazakevych_2017","DOCK9"
"10758","fetal.ISC.proliferation.signature_Kazakevych_2017","TGIF1"
"10759","fetal.ISC.proliferation.signature_Kazakevych_2017","SUN2"
"10760","fetal.ISC.proliferation.signature_Kazakevych_2017","TFAP4"
"10761","fetal.ISC.proliferation.signature_Kazakevych_2017","SASS6"
"10762","fetal.ISC.proliferation.signature_Kazakevych_2017","VGLL4"
"10763","fetal.ISC.proliferation.signature_Kazakevych_2017","2310008H04RIK"
"10764","fetal.ISC.proliferation.signature_Kazakevych_2017","TXNDC16"
"10765","fetal.ISC.proliferation.signature_Kazakevych_2017","ZFP608"
"10766","fetal.ISC.proliferation.signature_Kazakevych_2017","CHD7"
"10767","fetal.ISC.proliferation.signature_Kazakevych_2017","BC053749"
"10768","fetal.ISC.proliferation.signature_Kazakevych_2017","FNBP4"
"10769","fetal.ISC.proliferation.signature_Kazakevych_2017","SPICE1"
"10770","fetal.ISC.proliferation.signature_Kazakevych_2017","PUS7"
"10771","fetal.ISC.proliferation.signature_Kazakevych_2017","TUBE1"
"10772","fetal.ISC.proliferation.signature_Kazakevych_2017","PRIM1"
"10773","fetal.ISC.proliferation.signature_Kazakevych_2017","WNK4"
"10774","fetal.ISC.proliferation.signature_Kazakevych_2017","CTC1"
"10775","fetal.ISC.proliferation.signature_Kazakevych_2017","PSRC1"
"10776","fetal.ISC.proliferation.signature_Kazakevych_2017","CCDC15"
"10777","fetal.ISC.proliferation.signature_Kazakevych_2017","4922501C03RIK"
"10778","fetal.ISC.proliferation.signature_Kazakevych_2017","RHBDF1"
"10779","fetal.ISC.proliferation.signature_Kazakevych_2017","DENND4A"
"10780","fetal.ISC.proliferation.signature_Kazakevych_2017","PHLDA1"
"10781","fetal.ISC.proliferation.signature_Kazakevych_2017","MARVELD1"
"10782","fetal.ISC.proliferation.signature_Kazakevych_2017","1110008L16RIK"
"10783","fetal.ISC.proliferation.signature_Kazakevych_2017","NACA"
"10784","fetal.ISC.proliferation.signature_Kazakevych_2017","CEP128"
"10785","fetal.ISC.proliferation.signature_Kazakevych_2017","CLK2"
"10786","fetal.ISC.proliferation.signature_Kazakevych_2017","BC027231"
"10787","fetal.ISC.proliferation.signature_Kazakevych_2017","KLHL17"
"10788","fetal.ISC.proliferation.signature_Kazakevych_2017","1110038B12RIK"
"10789","fetal.ISC.proliferation.signature_Kazakevych_2017","WNK2"
"10790","fetal.ISC.proliferation.signature_Kazakevych_2017","MKI67"
"10791","fetal.ISC.proliferation.signature_Kazakevych_2017","FGGY"
"10792","fetal.ISC.proliferation.signature_Kazakevych_2017","NCOR2"
"10793","fetal.ISC.proliferation.signature_Kazakevych_2017","BCL11A"
"10794","fetal.ISC.proliferation.signature_Kazakevych_2017","KNTC1"
"10795","fetal.ISC.proliferation.signature_Kazakevych_2017","SLC25A27"
"10796","fetal.ISC.proliferation.signature_Kazakevych_2017","RCL1"
"10797","fetal.ISC.proliferation.signature_Kazakevych_2017","ACTN1"
"10798","fetal.ISC.proliferation.signature_Kazakevych_2017","RPL27A"
"10799","fetal.ISC.proliferation.signature_Kazakevych_2017","SNAPC4"
"10800","fetal.ISC.proliferation.signature_Kazakevych_2017","WDR62"
"10801","fetal.ISC.proliferation.signature_Kazakevych_2017","ZFP111"
"10802","fetal.ISC.proliferation.signature_Kazakevych_2017","HIRIP3"
"10803","fetal.ISC.proliferation.signature_Kazakevych_2017","CEP89"
"10804","fetal.ISC.proliferation.signature_Kazakevych_2017","IFITM2"
"10805","fetal.ISC.proliferation.signature_Kazakevych_2017","PALB2"
"10806","fetal.ISC.proliferation.signature_Kazakevych_2017","RBBP8NL"
"10807","fetal.ISC.proliferation.signature_Kazakevych_2017","SYN3"
"10808","fetal.ISC.proliferation.signature_Kazakevych_2017","RSRC1"
"10809","fetal.ISC.proliferation.signature_Kazakevych_2017","RNF169"
"10810","fetal.ISC.proliferation.signature_Kazakevych_2017","ASPM"
"10811","fetal.ISC.proliferation.signature_Kazakevych_2017","DNA2"
"10812","fetal.ISC.proliferation.signature_Kazakevych_2017","SDC2"
"10813","fetal.ISC.proliferation.signature_Kazakevych_2017","TAGAP1"
"10814","fetal.ISC.proliferation.signature_Kazakevych_2017","AP4M1"
"10815","fetal.ISC.proliferation.signature_Kazakevych_2017","GIGYF1"
"10816","fetal.ISC.proliferation.signature_Kazakevych_2017","HNF1B"
"10817","fetal.ISC.proliferation.signature_Kazakevych_2017","RPP38"
"10818","fetal.ISC.proliferation.signature_Kazakevych_2017","2700038G22RIK"
"10819","fetal.ISC.proliferation.signature_Kazakevych_2017","PMS1"
"10820","fetal.ISC.proliferation.signature_Kazakevych_2017","MPHOSPH9"
"10821","fetal.ISC.proliferation.signature_Kazakevych_2017","GLUL"
"10822","fetal.ISC.proliferation.signature_Kazakevych_2017","UBE2C"
"10823","fetal.ISC.proliferation.signature_Kazakevych_2017","UBR2"
"10824","fetal.ISC.proliferation.signature_Kazakevych_2017","SNHG7"
